Altitutude (meters),Denstiy (kg/m3)
0,1.225
1,1.22488
2,1.22476
3,1.22465
4,1.22453
5,1.22441
6,1.22429
7,1.22418
8,1.22406
9,1.22394
10,1.22382
11,1.22371
12,1.22359
13,1.22347
14,1.22335
15,1.22324
16,1.22312
17,1.223
18,1.22288
19,1.22277
20,1.22265
21,1.22253
22,1.22241
23,1.2223
24,1.22218
25,1.22206
26,1.22195
27,1.22183
28,1.22171
29,1.22159
30,1.22148
31,1.22136
32,1.22124
33,1.22112
34,1.22101
35,1.22089
36,1.22077
37,1.22065
38,1.22054
39,1.22042
40,1.2203
41,1.22019
42,1.22007
43,1.21995
44,1.21983
45,1.21972
46,1.2196
47,1.21948
48,1.21936
49,1.21925
50,1.21913
51,1.21901
52,1.2189
53,1.21878
54,1.21866
55,1.21854
56,1.21843
57,1.21831
58,1.21819
59,1.21808
60,1.21796
61,1.21784
62,1.21773
63,1.21761
64,1.21749
65,1.21737
66,1.21726
67,1.21714
68,1.21702
69,1.21691
70,1.21679
71,1.21667
72,1.21655
73,1.21644
74,1.21632
75,1.2162
76,1.21609
77,1.21597
78,1.21585
79,1.21574
80,1.21562
81,1.2155
82,1.21539
83,1.21527
84,1.21515
85,1.21503
86,1.21492
87,1.2148
88,1.21468
89,1.21457
90,1.21445
91,1.21433
92,1.21422
93,1.2141
94,1.21398
95,1.21387
96,1.21375
97,1.21363
98,1.21352
99,1.2134
100,1.21328
101,1.21317
102,1.21305
103,1.21293
104,1.21282
105,1.2127
106,1.21258
107,1.21247
108,1.21235
109,1.21223
110,1.21212
111,1.212
112,1.21188
113,1.21177
114,1.21165
115,1.21153
116,1.21142
117,1.2113
118,1.21118
119,1.21107
120,1.21095
121,1.21083
122,1.21072
123,1.2106
124,1.21048
125,1.21037
126,1.21025
127,1.21013
128,1.21002
129,1.2099
130,1.20978
131,1.20967
132,1.20955
133,1.20943
134,1.20932
135,1.2092
136,1.20909
137,1.20897
138,1.20885
139,1.20874
140,1.20862
141,1.2085
142,1.20839
143,1.20827
144,1.20815
145,1.20804
146,1.20792
147,1.20781
148,1.20769
149,1.20757
150,1.20746
151,1.20734
152,1.20722
153,1.20711
154,1.20699
155,1.20687
156,1.20676
157,1.20664
158,1.20653
159,1.20641
160,1.20629
161,1.20618
162,1.20606
163,1.20595
164,1.20583
165,1.20571
166,1.2056
167,1.20548
168,1.20536
169,1.20525
170,1.20513
171,1.20502
172,1.2049
173,1.20478
174,1.20467
175,1.20455
176,1.20444
177,1.20432
178,1.2042
179,1.20409
180,1.20397
181,1.20385
182,1.20374
183,1.20362
184,1.20351
185,1.20339
186,1.20327
187,1.20316
188,1.20304
189,1.20293
190,1.20281
191,1.20269
192,1.20258
193,1.20246
194,1.20235
195,1.20223
196,1.20212
197,1.202
198,1.20188
199,1.20177
200,1.20165
201,1.20154
202,1.20142
203,1.2013
204,1.20119
205,1.20107
206,1.20096
207,1.20084
208,1.20072
209,1.20061
210,1.20049
211,1.20038
212,1.20026
213,1.20015
214,1.20003
215,1.19991
216,1.1998
217,1.19968
218,1.19957
219,1.19945
220,1.19934
221,1.19922
222,1.1991
223,1.19899
224,1.19887
225,1.19876
226,1.19864
227,1.19853
228,1.19841
229,1.19829
230,1.19818
231,1.19806
232,1.19795
233,1.19783
234,1.19772
235,1.1976
236,1.19749
237,1.19737
238,1.19725
239,1.19714
240,1.19702
241,1.19691
242,1.19679
243,1.19668
244,1.19656
245,1.19645
246,1.19633
247,1.19621
248,1.1961
249,1.19598
250,1.19587
251,1.19575
252,1.19564
253,1.19552
254,1.19541
255,1.19529
256,1.19518
257,1.19506
258,1.19494
259,1.19483
260,1.19471
261,1.1946
262,1.19448
263,1.19437
264,1.19425
265,1.19414
266,1.19402
267,1.19391
268,1.19379
269,1.19368
270,1.19356
271,1.19345
272,1.19333
273,1.19321
274,1.1931
275,1.19298
276,1.19287
277,1.19275
278,1.19264
279,1.19252
280,1.19241
281,1.19229
282,1.19218
283,1.19206
284,1.19195
285,1.19183
286,1.19172
287,1.1916
288,1.19149
289,1.19137
290,1.19126
291,1.19114
292,1.19103
293,1.19091
294,1.1908
295,1.19068
296,1.19057
297,1.19045
298,1.19034
299,1.19022
300,1.19011
301,1.18999
302,1.18988
303,1.18976
304,1.18965
305,1.18953
306,1.18942
307,1.1893
308,1.18919
309,1.18907
310,1.18896
311,1.18884
312,1.18873
313,1.18861
314,1.1885
315,1.18838
316,1.18827
317,1.18815
318,1.18804
319,1.18792
320,1.18781
321,1.18769
322,1.18758
323,1.18746
324,1.18735
325,1.18723
326,1.18712
327,1.187
328,1.18689
329,1.18677
330,1.18666
331,1.18654
332,1.18643
333,1.18631
334,1.1862
335,1.18608
336,1.18597
337,1.18586
338,1.18574
339,1.18563
340,1.18551
341,1.1854
342,1.18528
343,1.18517
344,1.18505
345,1.18494
346,1.18482
347,1.18471
348,1.18459
349,1.18448
350,1.18436
351,1.18425
352,1.18414
353,1.18402
354,1.18391
355,1.18379
356,1.18368
357,1.18356
358,1.18345
359,1.18333
360,1.18322
361,1.1831
362,1.18299
363,1.18288
364,1.18276
365,1.18265
366,1.18253
367,1.18242
368,1.1823
369,1.18219
370,1.18207
371,1.18196
372,1.18185
373,1.18173
374,1.18162
375,1.1815
376,1.18139
377,1.18127
378,1.18116
379,1.18104
380,1.18093
381,1.18082
382,1.1807
383,1.18059
384,1.18047
385,1.18036
386,1.18024
387,1.18013
388,1.18002
389,1.1799
390,1.17979
391,1.17967
392,1.17956
393,1.17944
394,1.17933
395,1.17922
396,1.1791
397,1.17899
398,1.17887
399,1.17876
400,1.17864
401,1.17853
402,1.17842
403,1.1783
404,1.17819
405,1.17807
406,1.17796
407,1.17785
408,1.17773
409,1.17762
410,1.1775
411,1.17739
412,1.17728
413,1.17716
414,1.17705
415,1.17693
416,1.17682
417,1.17671
418,1.17659
419,1.17648
420,1.17636
421,1.17625
422,1.17613
423,1.17602
424,1.17591
425,1.17579
426,1.17568
427,1.17557
428,1.17545
429,1.17534
430,1.17522
431,1.17511
432,1.175
433,1.17488
434,1.17477
435,1.17465
436,1.17454
437,1.17443
438,1.17431
439,1.1742
440,1.17408
441,1.17397
442,1.17386
443,1.17374
444,1.17363
445,1.17352
446,1.1734
447,1.17329
448,1.17317
449,1.17306
450,1.17295
451,1.17283
452,1.17272
453,1.17261
454,1.17249
455,1.17238
456,1.17226
457,1.17215
458,1.17204
459,1.17192
460,1.17181
461,1.1717
462,1.17158
463,1.17147
464,1.17135
465,1.17124
466,1.17113
467,1.17101
468,1.1709
469,1.17079
470,1.17067
471,1.17056
472,1.17045
473,1.17033
474,1.17022
475,1.1701
476,1.16999
477,1.16988
478,1.16976
479,1.16965
480,1.16954
481,1.16942
482,1.16931
483,1.1692
484,1.16908
485,1.16897
486,1.16886
487,1.16874
488,1.16863
489,1.16852
490,1.1684
491,1.16829
492,1.16818
493,1.16806
494,1.16795
495,1.16784
496,1.16772
497,1.16761
498,1.1675
499,1.16738
500,1.16727
501,1.16716
502,1.16704
503,1.16693
504,1.16682
505,1.1667
506,1.16659
507,1.16648
508,1.16636
509,1.16625
510,1.16614
511,1.16602
512,1.16591
513,1.1658
514,1.16568
515,1.16557
516,1.16546
517,1.16534
518,1.16523
519,1.16512
520,1.165
521,1.16489
522,1.16478
523,1.16466
524,1.16455
525,1.16444
526,1.16432
527,1.16421
528,1.1641
529,1.16399
530,1.16387
531,1.16376
532,1.16365
533,1.16353
534,1.16342
535,1.16331
536,1.16319
537,1.16308
538,1.16297
539,1.16286
540,1.16274
541,1.16263
542,1.16252
543,1.1624
544,1.16229
545,1.16218
546,1.16206
547,1.16195
548,1.16184
549,1.16173
550,1.16161
551,1.1615
552,1.16139
553,1.16127
554,1.16116
555,1.16105
556,1.16094
557,1.16082
558,1.16071
559,1.1606
560,1.16048
561,1.16037
562,1.16026
563,1.16015
564,1.16003
565,1.15992
566,1.15981
567,1.15969
568,1.15958
569,1.15947
570,1.15936
571,1.15924
572,1.15913
573,1.15902
574,1.1589
575,1.15879
576,1.15868
577,1.15857
578,1.15845
579,1.15834
580,1.15823
581,1.15812
582,1.158
583,1.15789
584,1.15778
585,1.15767
586,1.15755
587,1.15744
588,1.15733
589,1.15721
590,1.1571
591,1.15699
592,1.15688
593,1.15676
594,1.15665
595,1.15654
596,1.15643
597,1.15631
598,1.1562
599,1.15609
600,1.15598
601,1.15586
602,1.15575
603,1.15564
604,1.15553
605,1.15541
606,1.1553
607,1.15519
608,1.15508
609,1.15496
610,1.15485
611,1.15474
612,1.15463
613,1.15452
614,1.1544
615,1.15429
616,1.15418
617,1.15407
618,1.15395
619,1.15384
620,1.15373
621,1.15362
622,1.1535
623,1.15339
624,1.15328
625,1.15317
626,1.15305
627,1.15294
628,1.15283
629,1.15272
630,1.15261
631,1.15249
632,1.15238
633,1.15227
634,1.15216
635,1.15204
636,1.15193
637,1.15182
638,1.15171
639,1.1516
640,1.15148
641,1.15137
642,1.15126
643,1.15115
644,1.15104
645,1.15092
646,1.15081
647,1.1507
648,1.15059
649,1.15047
650,1.15036
651,1.15025
652,1.15014
653,1.15003
654,1.14991
655,1.1498
656,1.14969
657,1.14958
658,1.14947
659,1.14935
660,1.14924
661,1.14913
662,1.14902
663,1.14891
664,1.14879
665,1.14868
666,1.14857
667,1.14846
668,1.14835
669,1.14823
670,1.14812
671,1.14801
672,1.1479
673,1.14779
674,1.14767
675,1.14756
676,1.14745
677,1.14734
678,1.14723
679,1.14712
